Halcyon network trace
recorded 2026-09-01 23:24:30, 70 seconds, 300ms polling

ADDRESS                  PORT    FIRST     HOST
192.178.158.109          993     23:23:20  lcdels-in-f109.1e100.net
142.251.12.132           443     23:23:26  se-in-f132.1e100.net
104.18.37.214            443     23:23:26  (no reverse DNS)
18.66.78.21              443     23:23:28  server-18-66-78-21.del51.r.cloudfront.net
142.250.122.132          443     23:23:28  nv-in-f132.1e100.net
18.66.78.17              443     23:23:29  server-18-66-78-17.del51.r.cloudfront.net
23.217.111.105           443     23:23:30  a23-217-111-105.deploy.static.akamaitechnologies.com
104.18.27.197            80      23:23:32  (no reverse DNS)
104.16.144.111           443     23:23:33  (no reverse DNS)
23.1.241.98              443     23:23:33  a23-1-241-98.deploy.static.akamaitechnologies.com
104.18.17.32             443     23:23:34  (no reverse DNS)
104.18.24.247            443     23:23:34  (no reverse DNS)
104.16.240.216           443     23:23:35  (no reverse DNS)
104.18.10.201            443     23:23:37  (no reverse DNS)
104.16.52.78             443     23:23:38  (no reverse DNS)
172.246.243.65           443     23:23:38  (no reverse DNS)
104.17.156.243           443     23:23:39  (no reverse DNS)
69.48.216.17             443     23:23:49  (no reverse DNS)
13.224.163.21            443     23:23:49  server-13-224-163-21.del51.r.cloudfront.net
34.110.180.34            443     23:23:50  34.180.110.34.bc.googleusercontent.com
69.48.216.4              443     23:23:50  (no reverse DNS)
99.86.30.28              443     23:23:51  server-99-86-30-28.del51.r.cloudfront.net
23.63.110.107            443     23:23:53  a23-63-110-107.deploy.static.akamaitechnologies.com
162.159.140.159          443     23:24:11  (no reverse DNS)
